d_loss,d_acc,g_loss
0.6884509325027466,0.0234375,0.3879047632217407
0.556524932384491,0.0,0.7004092931747437
0.652877688407898,0.5,0.3133535981178284
0.5563546419143677,0.0,0.21650981903076166
0.5734461545944214,0.0,0.3167255222797394
0.5167902708053589,0.0625,0.5069043040275574
0.5345194339752197,0.5,0.527732789516449
0.505327582359314,0.5,0.3521978259086609
0.4084774255752564,0.5,0.1889252215623856
0.3021298050880432,0.5,0.2948057949542999
0.2776540219783783,0.5,0.0024365526624023914
0.34961187839508057,0.5,0.0003101753245573492
0.44243571162223816,0.5,0.0014105387963354588
0.2864074110984802,0.5,0.025314928963780403
0.20696322619915009,0.5,0.04730376973748207
0.22395668923854828,0.5,0.009209750220179558
0.21041177213191986,0.5,0.005519758909940721
0.2657572627067566,0.5,0.012971831485629082
0.2538018524646759,0.5,0.06296176463365555
0.17794664204120636,0.5,0.2092778980731964
0.1690152883529663,0.5,0.3892773985862732
0.19590571522712708,0.5,0.493543267250061
0.21203216910362244,0.5,0.5154857635498047
0.20331339538097384,0.5,0.4743173122406006
0.18061262369155884,0.5,0.3798875510692597
0.16632705926895142,0.5,0.27340489625930786
0.1762607991695404,0.5,0.21285994350910187
0.1860920935869217,0.5,0.23937685787677765
0.175714910030365,0.5,0.3333546817302704
0.16536977887153625,0.5,0.4653607904911041
0.17366565763950348,0.5,0.4576687216758728
0.17489689588546753,0.5,0.34543147683143616
0.16490329802036285,0.5,0.2567481994628906
0.1661350131034851,0.5,0.20976358652114868
0.17007124423980713,0.5,0.19773808121681213
0.16996876895427704,0.5,0.21177993714809407
0.16625672578811646,0.5,0.2405994832515717
0.16370323300361633,0.5,0.2668187618255615
0.16501975059509275,0.5,0.27375420928001404
0.16718390583992004,0.5,0.2552371621131897
0.1665438711643219,0.5,0.2205013483762741
0.16456729173660278,0.5,0.18469899892807007
0.16526243090629578,0.5,0.1675935983657837
0.1667052060365677,0.5,0.177931547164917
0.16468769311904907,0.5,0.20460405945777893
0.16346454620361328,0.5,0.2366470992565155
0.16361981630325315,0.5,0.2624209523200989
0.16430890560150144,0.5,0.2690765261650085
0.16421613097190854,0.5,0.25445374846458435
0.16347607970237732,0.5,0.2307415455579757
0.16330580413341522,0.5,0.2128534615039825
0.16382062435150144,0.5,0.21202978491783145
0.16395485401153564,0.5,0.2308475375175476
0.16345858573913574,0.5,0.2609379589557648
0.16335946321487427,0.5,0.28032296895980835
0.16378530859947205,0.5,0.2677457332611084
0.1635531485080719,0.5,0.2333376109600067
0.16316865384578705,0.5,0.20455333590507507
0.16340535879135132,0.5,0.1948927342891693
0.16344735026359558,0.5,0.2034564912319184
0.16307663917541504,0.5,0.21890640258789065
0.1630859673023224,0.5,0.22100268304347992
0.16325242817401886,0.5,0.20187589526176453
0.16298365592956546,0.5,0.1771233081817627
0.1629389226436615,0.5,0.16342569887638092
0.16310034692287445,0.5,0.16473858058452606
